"AnimalID","Sex","DateofCapture","DateofRecapture","TeethWidth","TeethWidth2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofincisorgrowth","CompleteCapture","CompleteRecapture"
"KR11F021","Female",2019-09-24,2020-03-31,4.71,4.65,"Kuruman 11",20,"KR11F001",17,189,-0.00031746,1,1
"KR11M017","Male",2019-09-23,2020-03-31,5.305,5.115,"Kuruman 11",20,"KR11F001",17,190,-0.001,1,1
"KR11F013","Female",2019-09-26,2020-03-31,5.165,5.525,"Kuruman 11",20,"KR11F001",17,187,0.001925134,1,1
"KR11F019","Female",2019-09-23,2020-03-31,4.76,4.705,"Kuruman 11",20,"KR11F001",17,190,-0.000289474,1,1
"KR11M023","Male",2019-09-23,2020-03-31,4.67,4.56,"Kuruman 11",20,"KR11F001",17,190,-0.000578947,1,1
"KR11F015","Female",2019-09-24,2020-03-31,5.39,5.065,"Kuruman 11",20,"KR11F001",17,189,-0.001719577,1,1
"KR11F008","Female",2019-09-25,2020-04-01,5.57,5.595,"Kuruman 11",20,"KR11F001",17,189,0.000132275,1,1
"KR11F022","Female",2019-09-25,2020-04-01,4.62,4.73,"Kuruman 11",20,"KR11F001",17,189,0.000582011,1,1
"KR11F016","Female",2019-09-24,2020-04-01,4.815,5.02,"Kuruman 11",20,"KR11F001",17,190,0.001078947,1,1
"KR11M004","Male",2019-09-25,2020-04-01,6.555,6.375,"Kuruman 11",20,"KR11F001",17,189,-0.000952381,1,1
"KR11M011","Male",2019-09-24,2020-04-01,5.965,5.75,"Kuruman 11",20,"KR11F001",17,190,-0.001131579,1,1
"KR13M005","Male",2014-01-23,2014-08-05,5.63,6.51,"Kuruman 13",26,"KR13F013",21,194,0.004536082,1,1
"KR13M008","Male",2014-01-23,2014-08-05,5.635,6.625,"Kuruman 13",26,"KR13F013",21,194,0.005103093,1,1
"KR13M022","Male",2014-01-26,2014-08-05,5.38,6.38,"Kuruman 13",26,"KR13F013",21,191,0.005235602,1,1
"KR13F006","Female",2014-01-23,2014-08-06,6.075,6.12,"Kuruman 13",26,"KR13F013",21,195,0.000230769,1,1
"KR13F016","Female",2014-01-24,2014-08-06,5.135,5.43,"Kuruman 13",26,"KR13F013",21,194,0.001520619,1,1
"KR13F019","Female",2014-01-25,2014-08-06,4.54,5.72,"Kuruman 13",26,"KR13F013",21,193,0.00611399,1,1
"KR13F020","Female",2014-01-25,2014-08-06,2.81,4.925,"Kuruman 13",26,"KR13F013",21,193,0.010958549,1,1
"KR13F021","Female",2014-01-26,2014-08-06,4.905,5.33,"Kuruman 13",26,"KR13F013",21,192,0.002213542,1,1
"KR13M004","Male",2014-01-23,2014-08-06,7.595,7.43,"Kuruman 13",26,"KR13F013",21,195,-0.000846154,1,1
"KR13M012","Male",2014-01-24,2014-08-06,5.17,5.965,"Kuruman 13",26,"KR13F013",21,194,0.004097938,1,1
"KR13M015","Male",2014-01-24,2014-08-06,5.18,6.04,"Kuruman 13",26,"KR13F013",21,194,0.00443299,1,1
"KR13M024","Male",2014-01-27,2014-08-06,3,5.24,"Kuruman 13",26,"KR13F013",21,191,0.011727749,1,1
"KR13M026","Male",2014-01-28,2014-08-07,2.805,5.05,"Kuruman 13",26,"KR13F013",21,191,0.011753927,1,1
"KR13F019","Female",2014-08-06,2015-02-10,5.72,6.09,"Kuruman 13",21,"KR13F013",23,188,0.001968085,1,1
"KR13F020","Female",2014-08-06,2015-02-10,4.925,5.62,"Kuruman 13",21,"KR13F013",23,188,0.003696809,1,1
"KR13F027","Female",2014-08-08,2015-02-10,2.875,4.905,"Kuruman 13",21,"KR13F013",23,186,0.010913978,1,1
"KR13F028","Female",2014-08-08,2015-02-10,3.125,5.185,"Kuruman 13",21,"KR13F013",23,186,0.011075269,1,1
"KR13M004","Male",2014-08-06,2015-02-10,7.43,7.5,"Kuruman 13",21,"KR13F013",23,188,0.00037234,1,1
"KR13M005","Male",2014-08-05,2015-02-10,6.51,7.32,"Kuruman 13",21,"KR13F013",23,189,0.004285714,1,1
"KR13M022","Male",2014-08-05,2015-02-10,6.38,6.75,"Kuruman 13",21,"KR13F013",23,189,0.001957672,1,1
"KR13M024","Male",2014-08-06,2015-02-10,5.24,6.14,"Kuruman 13",21,"KR13F013",23,188,0.004787234,1,1
"KR13M026","Male",2014-08-07,2015-02-10,5.05,5.925,"Kuruman 13",21,"KR13F013",23,187,0.004679144,1,1
"KR13M030","Male",2014-08-08,2015-02-10,3.345,5.355,"Kuruman 13",21,"KR13F013",23,186,0.010806452,1,1
"KR13M015","Male",2014-08-06,2015-02-10,6.04,6.645,"Kuruman 13",21,"KR13F013",23,188,0.003218085,1,1
