"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","BodyLength"
"KR49F013","Kuruman 49","KRR",12,2019-10-29,"28/10/2019",17,"Female",100,"29/10/2019",0,0,"femalenonbreeder",17.75
"KR49M014","Kuruman 49","KRR",13,2020-05-20,"19/05/2020",13,"Female",99,"29/10/2019",204,0.558521561,"femalenonbreeder",16.65
"KR50F001","Kuruman 50","KRR",13,2020-03-24,"23/03/2020",1,"Female",124,"24/03/2020",0,0,"single",17.55
"KR52F001","Kuruman 52","KRR",13,2020-04-06,"06/04/2020",1,"Female",129,"06/04/2020",0,0,"single",18.35
"KR7F004","Kuruman 7","KRR",1,2013-12-04,"03/12/2013",17,"Female",110,"04/12/2013",0,0,"femalenonbreeder",17.55
"KR7F006","Kuruman 7","KRR",3,2015-03-04,"03/03/2015",5,"Female",94,"05/12/2013",454,1.242984257,"femalenonbreeder",16.65
"KR7F007","Kuruman 7","KRR",1,2013-12-05,"03/12/2013",17,"Female",137,"05/12/2013",0,0,"femalenonbreeder",17.7
"KR7F007","Kuruman 7","KRR",2,2014-08-06,"06/08/2014",6,"Female",124,"05/12/2013",244,0.668035592,"femalenonbreeder",17.55
"KR7F007","Kuruman 7","KRR",3,2015-03-04,"03/03/2015",5,"Female",125,"05/12/2013",454,1.242984257,"femalenonbreeder",18.05
"KR7F007","Kuruman 7","KRR",5,2016-02-16,"16/02/2016",2,"Female",138,"05/12/2013",803,2.198494182,"femalenonbreeder",18.35
"KR7F007","Kuruman 7","KRR",6,2016-09-05,"05/09/2016",1,"Female",135,"05/12/2013",1005,2.751540041,"single",18.25
"KR7F007","Kuruman 7","KRR",7,2017-02-07,"06/02/2017",1,"Female",131,"05/12/2013",1160,3.175906913,"single",18.1
"KR7F007","Kuruman 7","KRR",8,2017-08-14,"14/08/2017",1,"Female",132,"05/12/2013",1348,3.690622861,"single",18.55
"KR7F008","Kuruman 7","KRR",1,2013-12-05,"03/12/2013",17,"Female",98,"05/12/2013",0,0,"femalenonbreeder",16.7
"KR7F011","Kuruman 7","KRR",1,2013-12-05,"03/12/2013",17,"Female",101,"05/12/2013",0,0,"femalenonbreeder",17.3
